medium,BiGG,substance
LB,glc__D,D-Glucose
LB,ala__L,L-Alanine
LB,asp__L,L-Aspartate
LB,glu__L,L-Glutamate
LB,his__L,L-Histidine
LB,leu__L,L-Leucine
LB,met__L,L-Methionine
LB,pro__L,L-Proline
LB,thr__L,L-Threonine
LB,tyr__L,L-Tyrosine
LB,arg__L,L-Arginine
LB,cys__L,L-Cysteine
LB,gly,Glycine
LB,ile__L,L-Isoleucine
LB,lys__L,L-Lysine
LB,phe__L,L-Phenylalanine
LB,ser__L,L-Serine
LB,trp__L,L-Tryptophan
LB,val__L,L-Valine
LB,thm,Thiamin
LB,ribflv,Riboflavin
LB,pnto__R,R-Pantothenate
LB,pydx,Pyridoxine
LB,btn,Biotin
LB,fol,Folate
LB,cbl1,Vitamin B12
LB,cbl2,Vitamin B12
LB,b12,Vitamin B12
LB,na1,Sodium; Na+
LB,cl,Chloride; Cl-
LB,so4,Sulfate
LB,k,Potassium; K+
LB,pi,Phosphate
LB,ca2,Calcium; Ca2+
LB,mg2,Magnesium
LB,,Selenium
LB,zn2,Zinc; Zn2+
LB,aso3,Arsenite; should be Arsenic
LB,cd2,Cadmium
LB,hg2,Mercury; Hg2+
LB,,Lead
LB,ins,Inosine
LB,hxan,Hypoxanthine
LB,dcyt,Deoxycytidine
LB,thymd,Thymidine
LB,ura,Uracil
LB,uri,Uridine
LB,dad_2,Deoxyadenosine
LB,adn,Adenosine
LB,chor,Chorismate
LB,o2,O2
LB,h,H+
LB,h2o,H2O
LB,amp,AMP
LB,cmp,CMP
LB,cro4,Chromate
LB,cobalt2,Co2+
LB,cu2,Cu2+
LB,fe2,Fe2+
LB,fe3,Fe3+
LB,gmp,GMP
LB,gsn,Guanosine
LB,h2s,Hydrogen sulfide
LB,lipoate,Lipoate
LB,mn2,Mn2+
LB,mobd,Molybdate
LB,nac,Nicotinic acid
LB,nh4,Ammonium
LB,ni2,Ni2+
LB,pheme,Protoheme
LB,ump,UMP
RPMI,ca2,Calcium
RPMI,no3,Nitrate
RPMI,mg2,Magnesium
RPMI,so4,Sulfate
RPMI,cl,Chloride
RPMI,k,Potassium
RPMI,na1,Sodium
RPMI,pi,Phosphate
RPMI,gly,Glycine
RPMI,arg__L,Arginine
RPMI,asn__L,L-Asparagine
RPMI,asp__L,Aspartic acid
RPMI,cys__L,L-Cysteine
RPMI,glu__L,L-Glutamate
RPMI,gln__L,L-Glutamine
RPMI,his__L,Histidine
RPMI,ile__L,Isoleucine
RPMI,leu__L,Leucine
RPMI,met__L,Methionine
RPMI,phe__L,Phenylalanine
RPMI,pro__L,Proline
RPMI,ser__L,Serine
RPMI,thr__L,Threonine
RPMI,trp__L,L-Tryptophan
RPMI,tyr__L,L-Tyrosine disodium salt dihydrate
RPMI,val__L,L-Valine
RPMI,lys__L,L-Lysine
RPMI,btn,Biotin
RPMI,chol,Choline
RPMI,ncam,Niacinamide
RPMI,4abz,4-Aminobenzoate
RPMI,ribflv,Riboflavin
RPMI,thm,Thiamin
RPMI,inost,Myo-Inositol; should be I-Inositol
RPMI,pnto__R,Pantothenic acid; (R)-Pantothenate
RPMI,fol,Folate
RPMI,pydxn,	Pyridoxine
RPMI,cbl1,Vitamin B12
RPMI,glc__D,Glucose
RPMI,gthrd,Reduced glutathione
RPMI,h2o,Water
RPMI,o2,Oxygen
RPMI,hco3,Bicarbonate
RPMI,4hpro_LT,Trans-4-Hydroxy-L-proline
RPMI,b12,Vitamin B12
RPMI,co2,Carbondioxide
RPMI,h,H+; Hydrogen
RPMI,,Phenol Red (KEGG: C12600)
CGXII,nh4,Ammonium
CGXII,so4,Sulfate
CGXII,k,Potassium
CGXII,pi,Phosphate
CGXII,urea,Urea; Carbamide
CGXII,ca2,Calcium
CGXII,cl,Chloride
CGXII,mg2,Magnesium
CGXII,fe2,Iron
CGXII,mn2,Manganese
CGXII,ni2,Nickel
CGXII,cu2,Copper
CGXII,zn2,Zinc
CGXII,btn,Biotin
CGXII,glc__D,Glucose
CGXII,h2o,Water
CGXII,o2,Oxygen
CGXII,na1,Sodium
CGXII,h,H+; Hydrogen
CGXII,34dhbz,"3,4-Dihydroxybenzoate; Protocatechuic acid"
M9,ca2,Ca2+
M9,cl,Cl-
M9,glc__D,D-Glucose
M9,h2o,H2O
M9,h,H+
M9,k,K+
M9,mg2,Mg
M9,na1,Na+
M9,nh4,Ammonium
M9,o2,O2
M9,pi,Phosphate
M9,so4,Sulfate
CasA,lys__L,Lysine
CasA,his__L,Histidine
CasA,arg__L,Arginine
CasA,asp__L,Aspartic acid
CasA,thr__L,Threonine
CasA,glu__L,Glutamic acid
CasA,gly,Glycine
CasA,val__L,Valine
CasA,met__L,Methionine
CasA,ile__L,Isoleucine
CasA,leu__L,Leucine
CasA,tyr__L,Tyrosine
CasA,phe__L,Phenylalanine
